Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
 Greek Yogurt Smoothie - Alphonso Mango,Epigamia ,200 ml Bottle,Rs 70,"['Epigamia Smoothies is just Like the lassi, with the added fuel of high protein and with real fruits for stimulating taste. This preservative-free smoothie is an ideal snack that will tame your hunger in no time.So say no to the all the junk and enjoy a healthy and tasty treat with Epigamia Smoothies. Tame your sweet craving with this tasty smoothie.']"
Chef Pasta - Fusilli,Happy Chef,500 g,Rs 95,['Pastas are an integral part of the Italian Cuisine. Our Pastas are processed in a high-class facility and are hygienically extruded and processed. It undergoes a process of slow drying so that the pastas are dry and have a great texture. Enjoy our assorted shaped pasta with various sauces to prepare different recipes.']
Signature Fruit,Fresho Signature,Seeds & Nuts Snacks - Dehydrated,Rs 65,"['Fresho Signature Candied Dry Fruits are a delicious snack that comes in 13 delectable variants. These can also be used in preparing yummy cakes, cookies and muffins or used as a topping on desserts like custards and ice creams. You can also add them to your breakfast cereals to make them delightful. Dry Fruits can be used as a major ingredient for making traditional Indian sweets. These are candied with sulfur-less sugar and liquid glucose. Fresho Signature Candied Dry Fruits are a rich source of anti-oxidants and nutrients, no artificial color, flavor or preservative is added to any of the products, thereby making them 100% natural and healthy for consumption.']"
Organic Cold Pressed Virgin Coconut Oil,GoodDiet,250 ml,Rs 239,['GoodDiet Organic Cold Pressed Virgin Coconut Oil is made from fresh milk extracted from Organic coconuts. It is ideal for healthy and flavourful cooking and also works wonder for skin and hair too.']
Apple Cider Vinegar With Mother & Honey,GoodDiet,500 ml,Rs 199,"['Apple Cider Vinegar is brewed from delicious Himalayan Apples & contains a strand of ""Mother"" a proof of unfiltered vinegar with honey. Apple cider vinegar is the most popular type of vinegar which has been used in culinary and medicinal purposes for ages. It has antibacterial and antifungal properties. It also helps to lower the blood sugar and supports weight loss.']"
Snacks - Roasted Peanuts Olive n Herbs,GoodDiet,150 g,Rs 99,"['Here are peanuts in an all-new exotic avatar. Enjoy the international blend of enticing flavours, with the familiar crunch of roasted peanuts. Treat yourself to a healthier snack, with our range of roasted goodies.  Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier and healthier you.']"
Signature Dry Fruit - Strawberry,Fresho Signature,Dehydrated,Rs 65,"['Fresho Signature Candied Dry Fruits are a delicious snack that comes in 13 delectable variants. These can also be used in preparing yummy cakes, cookies and muffins or used as a topping on desserts like custards and ice creams. You can also add them to your breakfast cereals to make them delightful. Dry Fruits can be used as a major ingredient for making traditional Indian sweets. These are candied with sulfur-less sugar and liquid glucose. Fresho Signature Candied Dry Fruits are a rich source of anti-oxidants and nutrients, no artificial color, flavor or preservative is added to any of the products, thereby making them 100% natural and healthy for consumption.']"
Snacks - Roasted Sprouted Mixture Plain,GoodDiet,125 g,Rs 69,"['Bb GoodDiet Sprouted Mixture Plain is made with roasted whole grams, lentils and jowar flakes with oil seasoning. Plain, simple and healthy, it is loaded with the proteins of green gram (moong), calcium of dew gram (moth) and rich nutrients of red lentils (masoor dal). This mixture is a healthy addition to your daily snacks. It is a 100% good diet for a diet conscious you.\xa0\xa0Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier and healthier you.']"
Chef Kids Pasta,Happy Chef,250 g Boy,Rs 59,['Pastas are an integral part of the Italian Cuisine. Our Pastas are processed in a high-class facility and are hygienically extruded and processed. It undergoes a process of slow drying so that the pastas are dry and have a great texture. Enjoy our assorted shaped pasta with various sauces to prepare different recipes.']
 Greek Yogurt - Alphonso Mango,Epigamia ,No Added Sugar,Rs 70,"['Of all the things the Greeks have given us, democracy and yogurt take the top spots. While the former is of no use when you’re hungry, a cup of Epigamia Greek yogurt is just perfect. Epigamia was the term used for marriage between two city-states in ancient Greece. We have adopted this word to talk about our celebration of the marriage of health and taste in our products; healthy preservative-free snacks that help you find your happy balance! Our journey started with us wanting to contemporize tradition by creating innovative items that have classic ingredients with modern twists thrown in.\xa0We wanted to push boundaries to create something new but familiar. Our Greek yogurt is an example of this. It has all the healthy goodness of homemade dahi, with the added punch of high protein and zero preservatives. Taking forward this love we have for innovation, we daresay we’ve done it again! Introducing the first no added sugar Greek yogurt in India. Made with real ingredients and no preservatives, this alphonso mango yogurt brings together the classic pairing of real mangoes and thick velvety yogurt. Zero preservatives, high protein, real fruit content and no added sugar make this a great snack to beat the everyday hunger pangs. Give it a try and tell us what you think!']"
Chef Spread - Bombay Sandwich,Happy Chef,250 g,Rs 119,"['Our take on the traditional Bombay Sandwich spread. Comes with an authentic taste and a tangy, spicy flavor that gives a feel of Mumbai street food.']"
Chef Mayonnaise - Eggless,Happy Chef,250 g,Rs 119,"['Happy Chef eggless mayonnaise is a creamy salad dressing completely made using skimmed milk powder without added egg in it. Mayonnaise is a classic French sauce which is used in sandwiches, salads and is a mother sauce for a variety of sauces and dressings.']"
Chef Marmalade - Orange,Happy Chef,No Added Sugar,Rs 149,['Our original Chunky Orange Marmalade but with no added sugar.']
Crackers - Rock Salt & Pepper,GoodDiet,Gluten Free,Rs 159,"['Good Diet Crackers are gluten-free and they come in a variety of flavours. These deliciously crunchy and high-quality crackers are naturally sweetened and contain no dairy or added preservatives. You can relish them the way they are, paired with tea/coffee or you could add toppings and pair it with dips of your choice. They are a good source of protein and fibre. It also contains no cholesterol and trans fat.']"
Chef Classic Peanut Butter - Crunchy,Happy Chef,1 Kg Jar,Rs 249,"['Classic peanut butter is high in protein, dairy-free and gluten-free. Peanut butter is made from ground dry-roasted peanuts. Peanut butter is popular across the globe as a health food. Peanut butter is a powerhouse of nutrition, especially protein. Peanut butter is tasty and delicious that is sure to make your day. In all its goodness, peanut butter is the tastiest and healthiest food to have with a slice of bread. They say that good habits are hard to develop, peanut butter is one of them.']"
Chef Classic Peanut Butter - Creamy,Happy Chef,1 Kg Jar,Rs 249,"['Classic peanut butter is high in protein, dairy-free and gluten-free. Peanut butter is made from ground dry-roasted peanuts. Peanut butter is popular across the globe as a health food. Peanut butter is a powerhouse of nutrition, especially protein. Peanut butter is tasty and delicious that is sure to make your day. In all its goodness, peanut butter is the tastiest and healthiest food to have with a slice of bread. They say that good habits are hard to develop, peanut butter is one of them.']"
Chef Peanut Butter - Crunchy,Happy Chef,100% Natural,Rs 129,"['It is unsweetened, contains no added refined sugar, no hydrogenated oil, no added preservatives.Peanut butter is made from ground dry-roasted peanuts. Peanut butter is popular across the globe as a health food. Peanut butter is a powerhouse of nutrition, especially protein. Peanut butter is tasty and delicious that is sure to make your day. In all its goodness, peanut butter is the tastiest and healthiest food to have with a slice of bread. They say that good habits are hard to develop, peanut butter is one of them.']"
Fruit & Nuts Cookies,Tasties,75 g,Rs 21,"['Baked to perfection, Tasties cookies are crunchy and tasty. Enriched with the delightful mix of fruits and nuts, Tasties Fruit & Nut Cookies are a great way of kick-start your day. Taste the goodness of fruit & nut with every bite.']"
Toast - Dates & Hazelnut,GoodDiet,Gluten Free,Rs 159,"['Good Diet Toasts are gluten-free and have a unique combination of fruits, nuts and seeds, which is a great accompaniment with wine. Relish it with cheese or any dip to have a delectable experience. These are dairy-free and are naturally sweetened, containing no added preservatives, cholesterol and trans fat.']"
Coconut Cookies,Tasties,75 g,Rs 25,"['Baked to perfection, Tasties cookies are crunchy and tasty. Enriched with real coconut and butter, Tasties Coconut Cookies are both scrumptious and delicious.']"
Snacks - Roasted Quinoa Puff Plain,GoodDiet,80 g,Rs 79,"['Bb GoodDiet Quinoa Puff Plain is made of quinoa, a world-renowned food rich in protein, fiber, magnesium, B-vitamins, iron, potassium, calcium, phosphorus, vitamin E, and various beneficial antioxidants. Its a gluten-free, oil-free food on your platter. Apart from being nutritious, this snack has a crunchy and tasty feel to it. Eat healthy, stay healthy with the roasted Quinoa Puff.  Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier and healthier you.']"
Snacks - Roasted Nutri Mixture Lime,GoodDiet,125 g,Rs 79,"['Bb GoodDiet Nutri Mixture Lime is a blend of multigrain and pulses,\xa0proteins\xa0and anti-oxidants, health and taste. The perfect mix as we call it. 100%\xa0roasted\xa0food with the richness of\xa0proteins from Bengal Gram (Chana). Your\xa0diet\xa0never got this nutritious as Bengal gram contains a good amount of\xa0iron, sodium, and selenium in addition to small doses of manganese, copper, and zinc. Healthy snacking just got healthier with the\xa0Bb GoodDiet Nutri Mixture Lime.  Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier and healthier you.']"
Snack - Munch Bhel,BHealthy,Oil Free,Rs 99,"['Feeling hungry and looking for a snack that is healthy, go for BHealthy oil free, traditional snack. Provided in a travel sealable pouch. Please note that this snack is homemade and contains the goodness of a healthy homemade snack unlike its commercial counterparts - so you can now munch guiltfree. Can be combined with vegetables and sprinkle with lemon juice for making a quick bhel.']"
Chef Mayonnaise - Tikka,Happy Chef,250 g,Rs 119,['An eggless mayonnaise with a perfect blend of spices to get that hot and tangy flavor and the authentic taste of tikka.']
