Product_Name,Brand_Name,Product_Qnty,Product_Price,Product_Desc
Pear - Green,Fresho,Imported,Rs 59,"['Green Pears have an egg-shaped appearance with a large spherical lower portion, gradually tapering and rounded at the top. They have bright green skin with fine hints of brown. The flesh is white and juicy when ripe, with a lemon like flavour that is subtly sweet.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1870/fresh-fruit-flambe/']"
Grapes - Sharad Seedless,Fresho,500 g,Rs 79,"['Velvety colored, deliciously sweet and juicy, Fresho black seedless grapes are individually handpicked everyday by our farmers and handled by very few, keeping the freshness intact. These are organically grown black grapes from the best farms.\r\nThese grapes are rich in vitamin C, K and A along with flavonoids and minerals. They help in boosting the immunity and are a healthy snack for your kids.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2251/fruit-punch/']"
Banana - Nendran,Fresho,1 kg,Rs 39,"['These Nendran bananas hail from Kerala, where they are a staple fruit. They have a pale yellow colour with silky flesh and compared to other varieties, they have a distinctive colour and texture owing to the cultivation adopted for this variety.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/573/banana-pancake/']"
Apple - Shimla,Fresho,Premium,Rs 145,"[""Considered as most commonly grown apples in India, Shimla apples have a light red skin, juicy and crunchy flesh. We source the best apples with residue and wax free peel from the trusted growers. Fresho's Premium apples are hand picked to give you the best quality apples. Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/701/apple-crisp-bites/""]"
Coccinia,Fresho,500 g,Rs 15,['The flesh of Coccinia is crunchy with a mild bitter after taste but the matured ones taste even sweeter. The translucent white flesh with seeds embedded turns red on ripening. They are oval to elongated with thick and light green skin.']
Sweet Potato,Fresho,250 g,Rs 13,"['With flesh colours ranging from white, orange and yellow, sweet potatoes are ovate and cylindrical with golden brown or white-brown skin and a delicious sweet flavour.  While the white fleshed are firm, orange fleshed are softer.  Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1730/healthy-sweet-potato-rabri/']"
Apple - Fuji,Fresho,Regular,Rs 189,"['A fruit specially for the ones with a sweet tooth, Fuji apples are the sweetest apples around and come with a hint of vanilla flavour. These hybrid apples have creamy white, firm and finely grained flesh. These apples are crisp, juicy and sugary. Premium apples are handpicked by our experts to give you the best quality apples. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1611/apple-crumble-pie/']"
Cucumber - Organically Grown,Fresho,500 g,Rs 20,"['It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Ladies Finger - Organically Grown,Fresho,500 g,Rs 22,"['It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Kiwi,Fresho,400 g (approx. 4 - 6 pcs),Rs 119,"['Arunachal Kiwis are soft by nature as they have been harvested at the right maturity stage and are ripened perfectly. These ripened Kiwis are extremely good in taste with maximum sweetness compared with any imported Kiwi. Even after keeping it in the ambient temperatures (without refrigeration) for three to four days, there is no issue with the fruit even though it is soft.']"
Carrot - Ooty,Fresho,500 g,Rs 40,"['A popular sweet-tasting root vegetable, Carrots are narrow and cone shaped. They have thick, fleshy, deeply colored root, which grows underground, and feathery green leaves that emerge above the ground. While these greens are fresh tasting and slightly bitter, the carrot roots are crunchy textured with a sweet and minty aromatic taste. Fresho brings you the flavour and richness of the finest bright orange, crispy and juicy carrots.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1203/carrot-or-gajar-ki-burfi/']"
Beans - French,Fresho,Round,Rs 28,"[""French Round beans are smaller than common green beans and have soft and velvety pods. Quite fleshy and 'round' for their size, only tiny seeds inhabit these delicate pods. The sweet, tender and wonderfully crispy taste and texture of these beans are used for a variety of scrumptious dishes.""]"
Sapota,Fresho,500 g,Rs 29,"['Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers and the best quality is delivered to you. \n  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/']"
Brinjal - Varikatri,Fresho,500 g,Rs 20,"['One of the bigger varieties, Brinjal Varikatris are egg- shaped with white-purple stripes on the shiny skin. The creamy flesh is enjoyably bitter tasting with several small, soft edible seeds.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1992/eggplant-grilled-sandwich/']"
Brinjal - Varikatri,Fresho,Organically Grown,Rs 18,"['It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Palak - Organically Grown,Fresho,250 g,Rs 30,"['Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Beans - Cowpea,Fresho,250 g,Rs 20,"['Tender, crispy and sweet tasting green cowpea beans have a succulent and pale flesh. These long and slender beans contain lime green peas. They are also known as black-eyed peas and lobia.\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/']"
Onion - Sambhar,Fresho,250 g,Rs 37.25,"['Also known as button onions, Sambar Onions are relatively smaller onions with a mild flavour and slightly sweet taste.']"
Capsicum - Red,Fresho,500 g,Rs 10,"['Leaving a sweet and fruity flavour on the tastebuds, Red capsicums, also known as red bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with fleshy texture on the inside. Red bell peppers are the most ripened and sweetest of all capsicums.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2347/pro-veg-platter-with-greek-yogurt-dip/']"
Beans - Broad,Fresho,500 g,Rs 30,['Fresh broad beans have a delicious earthy flavour that fits well with winter cooking. They have kidney shaped curves that are tender and generally consumed with the pods.\r\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2176/macaroni-with-baked-beans/']
Baby Potato,Fresho,500 g,Rs 20,['These small baby potatoes are a sweeter variety than normal ones and come with a creamy off white interior. Baby potato is a starchy vegetable that adds thickness to recipes and blends well with other vegetables.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2133/baked-cheesy-baby-potatoes/']
Tender Coconut - Small,Fresho,1 pc,Rs 36,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\nYoung, fresh and healthy tender coconuts are a pure, tasty and nutritious energy drink that keeps body hydrated round the clock. Tender coconut is the most refreshing drink and best to quench your thirst in the summer.Tender coconut has antioxidant properties which help to protect the body from free radicals. It helps to lower blood pressure level, prevent kidney stone, and support heart health.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/897/tender-coconut-souffle/']"
Pomegranate - Small,Fresho,1 kg,Rs 159,"['With ruby color and an intense floral, sweet-tart flavor, the pomegranate delivers both taste and beauty. You can remove the skin and the membranes to get at the delicious fruit with nutty seeds. Fresho Pomegranates are finely sorted and graded to deliver the best tasting pomegranates to you.  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1229/pomegranate-cooler/']"
Beans - Organically Grown,Fresho,500 g,Rs 49,"['These are organically grown, hence, free from chemical residues. They are used in curries, soups, stir-fry with rice, noodles and salads.']"
Muskmelon - Striped,Fresho,1 pc 500 - 1 kg,Rs 30,"['Fresho striped muskmelons have a distinct external skin that is smooth, with green ribbing on pistachio-grey colored surface. Their flesh is orange coloured, sweet with a floral aroma. Fresho muskmelons are directly procured from our farmers.\r\n Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1817/cantaloupe-juice-muskmelon-juice/']"
Orange - Imported,Fresho,Regular,Rs 75,"['Fresho brings you an assortment of 4 imported oranges, which make for an ideal gift during the festive season or even for making desserts and juices. These imported oranges are much bigger in size as compared to the Indian counterpart. You will notice their skin is much brighter and vibrant too. Easy to peel, these oranges are a healthy snack alternative.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/723/orange-kheer/']"
Banganapalli Mango,Fresho,1 kg,Rs 149,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\nBanganpalli are sourced from Andhra Pradesh and known for their unique sweet and rich taste. They are moderately juicy and aromatic with a maize-yellow colour.Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/\xa0 Calcium Carbide is not used in the ripening process of the mangoes.']"
Watermelon - Organically Grown,Fresho,1 pc 1.5 - 2.5 kg,Rs 49,"['With greenish black to smooth dark green surface, we selectively pick organically grown watermelons from the best farms These watermelons have juicy, sweet and grainy textured flesh filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these are pink to red with dark brown/black seeds. \n Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/']"
Capsicum - Yellow,Fresho,500 g,Rs 10,"['Leaving a mild fruity flavour on the tastebuds, Yellow capsicums, also known as Yellow bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with a fleshy texture on the inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/']"
Drumstick,Fresho,250 g,Rs 25,"['Drumsticks have long, dark green bumpy pods running along the length and fleshy pulp inside the pod encasing each seed. These pods have a faint bitter taste combined with slight sweetness. Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/1748/drumstick-tomato-curry/']"
Amaranthus - Red,Fresho,250 g,Rs 20,"['A highly nutritious leafy vegetable, Red Amaranthus has bright red leaves and a flavour similar to a beat. The Red variety produces feathery purple, magenta or red flowers from the central stalk which is packed with edible seeds. But once they mature and become bushy, they are not edible and should be avoided.\r\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/']"
Brinjal - Bharta,Fresho,Organically Grown,Rs 21,"['Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Baby Orange - Nagpur,Fresho,1 kg,Rs 58,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\nFreshly picked directly from farms, Fresho Baby Nagpur oranges are sweet and full of juice. These little oranges are no lesser than the regular ones in terms of their taste and flavour. These are simple to peel and section. Treat your taste buds with this mouthwatering fruit that is sweet and has a distinctive flavour.Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2315/mango-orange-and-mint-smoothie/']"
Grapes - Bangalore Blue with Seed,Fresho,500 g,Rs 20,"['Exclusively grown in Chikkaballapur, Bangalore Urban and Kolar districts, these soft skinned Fresho black blue grapes have a foxy flavour and a brisky pungent taste. \nWe have neatly packed the best quality grapes to make your day fresh and healthy.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2096/fruits-mithai-and-cheese-masti/']"
Lettuce - Iceberg,Fresho,500 g,Rs 26,['Iceberg lettuce is a variety of lettuce with crisp leaves which grows in a spherical head resembling a cabbage. The leaves on the outside tend to be green and the leaves in the center go from pale yellow to nearly whitish as you move closer and closer to the center of the head with the sweetest leaves in the center of the head.Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/2277/chicken-salad/']
Guava - Thai,Fresho,250 g,Rs 79,"['Thai Guavas are generally the size of a softball with apple green skin that can range from bumpy to smooth. The flesh is white with pale yellow seeds and tends to be drier than the pink type of guavas. Thai guavas are only mildly sweet and have very little fragrance. The crunchy flesh and hard seeds are both edible.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Chow Chow,Fresho,500 g,Rs 20,"['Known wordlwide for its delicious seeds, roots, shoots, flowers, leaves and fruit, Chow chow also known as Chayote, is a roughly pear-shaped, mild flavoured and green vegetable.']"
Papaya - Small,Fresho,1 pc 500 g - 900 g,Rs 49,"['Papayas grow in tropical climates and are also known as papaws or pawpaws. Initially green and somewhat bitter in taste, papayas are butter-yellow when fully ripe and shaped like a pear. Their pale-orange flesh has dozens of small, black, sticky seeds at the center, similar to a melon.']"
Apple - Green,Fresho,Premium,Rs 139,"['Green apples have a pleasing light-green coloured skin with a sweet and sour taste. They contain more fiber, less carbohydrates and sugar than red apples. Premium apples are handpicked by our experts to give you the best quality apples.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1865/apple-cobbler/']"
Tomato - Hybrid,Fresho,Organically Grown,Rs 27,"['Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
Dates - Kimia,Fresho,with Seed,Rs 209,"['Plump and fibrous, brownish-black coloured oval dates taste like honey and just melt in the mouth. Taiba dates are fleshy which are rich source of iron and a healthy snack.  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/896/dates-barfi/']"
Beans - Cluster,Fresho,250 g,Rs 10,"['These narrow long beans, called Cluster beans or Guar, come with tiny pods and are highly nutritious.\r\n Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2176/macaroni-with-baked-beans/']"
Watermelon - Striped,Fresho,Large,Rs 59,"['With an attractive external surface of pale green stripes on dark green skin, Fresho striped watermelons are sweet, juicy and the best way to beat the summer heat. These are freshly picked for you directly from our farmers. The flesh of this fruit is pinkish red with black seeds. Even its thick rind is edible after cooking. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/']"
Apple - Royal Gala Economy,Fresho,4 pcs 450g-490g,Rs 119,"['Royal Gala Apples are characterized by a blush of pink of the skin, the color varies from yellow to nearly orange with deep orange stripes. It can be eaten new, taked in in salads or used as a cooking apple and is mostly suited to sauce. It is dense, sugary, sweet-smelling and juicy with a white flesh. It is an extremely special dessert apple with wonderful look.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/']"
Apple - Red Delicious,Fresho,Economy,Rs 119,"['@import url(""https://www.bigbasket.com/static/froala_style_v2.min.css""); \n\n Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/']"
Muskmelon - Organically Grown,Fresho,1 pc,Rs 39,"['Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.']"
